name,gender,country,count
Khan,M,AE,232840.0
Ali,M,AE,127624.0
Kumar,M,AE,111579.0
Singh,M,AE,78848.0
Ahmed,M,AE,53745.0
Hussain,M,AE,40083.0
Ahmad,M,AE,36941.0
,M,AE,36403.0
Islam,M,AE,27513.0
Yadav,M,AE,26908.0
Khan,M,AF,11831.0
محمدی,M,AF,4786.0
Ahmadi,M,AF,4505.0
احمدی,M,AF,3587.0
Afghan,M,AF,3412.0
Safi,M,AF,3368.0
Jan,M,AF,2718.0
Mohammadi,M,AF,2660.0
Noori,M,AF,2630.0
افغان,M,AF,2362.0
Hoxha,M,AL,4274.0
Hoxha,F,AL,2082.0
Shehu,M,AL,1428.0
Marku,M,AL,1370.0
Cela,M,AL,1210.0
Kola,M,AL,1143.0
Muca,M,AL,1112.0
Dervishi,M,AL,1103.0
Kurti,M,AL,1072.0
Lleshi,M,AL,1055.0
Manuel,M,AO,2780.0
Silva,M,AO,2178.0
Pedro,M,AO,2068.0
Silva,F,AO,1926.0
Santos,M,AO,1845.0
Santos,F,AO,1731.0
Manuel,F,AO,1726.0
Francisco,M,AO,1685.0
Miguel,M,AO,1514.0
Domingos,M,AO,1402.0
Gonzalez,F,AR,12930.0
Gonzalez,M,AR,12541.0
Gomez,F,AR,11555.0
Lopez,F,AR,11390.0
Gomez,M,AR,10771.0
Rodriguez,F,AR,10489.0
Lopez,M,AR,10450.0
Rodriguez,M,AR,10356.0
Martinez,F,AR,9049.0
Diaz,F,AR,8862.0
Gruber,M,AT,1994.0
Huber,M,AT,1949.0
Gruber,F,AT,1681.0
Huber,F,AT,1661.0
Bauer,M,AT,1632.0
Müller,M,AT,1508.0
Bauer,F,AT,1393.0
Wagner,M,AT,1385.0
Berger,M,AT,1352.0
Moser,M,AT,1338.0
Memmedov,M,AZ,1988.0
Aliyev,M,AZ,1697.0
Eliyev,M,AZ,1385.0
Huseynov,M,AZ,1271.0
Quliyev,M,AZ,1087.0
Hesenov,M,AZ,849.0
Abbasov,M,AZ,822.0
Mamedov,M,AZ,799.0
Abdullayev,M,AZ,783.0
Aliyeva,F,AZ,736.0
Ahmed,M,BD,107507.0
Islam,M,BD,102731.0
Khan,M,BD,87351.0
Hossain,M,BD,77092.0
Rahman,M,BD,58799.0
Hasan,M,BD,43290.0
Uddin,M,BD,34852.0
Akter,F,BD,30041.0
Alam,M,BD,26304.0
Chowdhury,M,BD,24843.0
Peeters,M,BE,3519.0
Janssens,M,BE,3121.0
Peeters,F,BE,3118.0
Janssens,F,BE,2838.0
Maes,M,BE,2725.0
Maes,F,BE,2435.0
Jacobs,M,BE,2113.0
Mertens,M,BE,1971.0
Willems,M,BE,1930.0
Jacobs,F,BE,1899.0
Ouedraogo,M,BF,300.0
Sawadogo,M,BF,195.0
Ouedraogo,F,BF,117.0
Sanou,M,BF,76.0
Traore,M,BF,74.0
Kabore,M,BF,67.0
Zongo,M,BF,54.0
Ouattara,M,BF,53.0
Ouedraogo,,BF,51.0
Ilboudo,M,BF,48.0
Ivanov,M,BG,4741.0
Ivanova,F,BG,4209.0
Georgiev,M,BG,3467.0
Dimitrov,M,BG,3279.0
Dimitrova,F,BG,3092.0
Georgieva,F,BG,3072.0
Иванова,F,BG,2571.0
Иванов,M,BG,2553.0
Petrov,M,BG,2421.0
Petrova,F,BG,2159.0
Khan,,BH,30395.0
Ali,,BH,22335.0
Ahmed,,BH,17346.0
Kumar,,BH,17209.0
Singh,,BH,12788.0
Islam,,BH,9454.0
Hossain,,BH,6414.0
Miah,,BH,5458.0
Mohammed,,BH,5392.0
Alam,,BH,5310.0
Nkurunziza,M,BI,88.0
Niyonkuru,M,BI,86.0
Irakoze,F,BI,85.0
Ndayishimiye,M,BI,85.0
Bigirimana,M,BI,84.0
Hakizimana,M,BI,84.0
Nduwimana,M,BI,81.0
Nshimirimana,M,BI,79.0
Irakoze,M,BI,78.0
Manirakiza,M,BI,74.0
Khan,M,BN,886.0
Ahmad,M,BN,825.0
